id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
211,Pulsar 220 Fi,25000.0,2012,Individual,1st owner,44000,,11,9,4000.0,333.333,Bajaj
212,Pulsar 150,15000.0,2006,Individual,1st owner,55000,,17,11,3235.294,269.608,Bajaj
213,Dominar 400 [2018],170000.0,2018,Individual,1st owner,16000,163331.0,5,4,3200.0,266.667,Bajaj
214,Passion X Pro [2016-2017],38000.0,2016,Individual,2nd owner,20000,59095.0,7,4,2857.143,238.095,Hero
215,FZ S V 2.0,60000.0,2015,Individual,2nd owner,17500,84042.0,8,4,2187.5,182.292,Yamaha
216,Apache RTR 160,65000.0,2017,Individual,1st owner,46000,,6,10,7666.667,638.889,TVS
217,Avenger [2015],35000.0,2011,Individual,1st owner,30000,75502.0,12,6,2500.0,208.333,Bajaj
218,Pulsar 150,70000.0,2019,Individual,1st owner,6500,,4,2,1625.0,135.417,Bajaj
219,Glamour,15000.0,2006,Individual,1st owner,80000,,17,16,4705.882,392.157,Hero Honda
220,Splendor iSmart,50000.0,2017,Individual,2nd owner,10000,52271.0,6,2,1666.667,138.889,Hero
221,Classic 350,145000.0,2017,Individual,1st owner,2200,,6,1,366.667,30.556,Royal Enfield
222,FZ16,25000.0,2008,Individual,1st owner,40000,78712.0,15,8,2666.667,222.222,Yamaha
223,Xtreme Sports,58000.0,2016,Individual,1st owner,21000,80350.0,7,5,3000.0,250.0,Hero
224,Bullet 350 [2007-2011],90000.0,2007,Individual,1st owner,3500,,16,1,218.75,18.229,Royal Enfield
225,Passion,9000.0,2002,Individual,2nd owner,66191,,21,14,3151.952,262.663,Hero Honda
226,Discover 150S,40000.0,2014,Individual,1st owner,50000,63331.0,9,10,5555.556,462.963,Bajaj
227,Scooty Zest 110,28000.0,2015,Individual,1st owner,32800,52372.0,8,7,4100.0,341.667,TVS
228,Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,32000,80435.0,7,7,4571.429,380.952,Bajaj
229,Cygnus Ray ZR,56000.0,2019,Individual,1st owner,3900,58630.0,4,1,975.0,81.25,Yamaha
230,Activa [2000-2015],35000.0,2014,Individual,1st owner,10000,50267.0,9,2,1111.111,92.593,Honda
231,Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,5,2,1920.0,160.0,TVS
232,Shine,30000.0,2010,Individual,1st owner,46782,,13,10,3598.615,299.885,Honda
233,CB Hornet 160R,95000.0,2019,Individual,1st owner,8000,94703.0,4,2,2000.0,166.667,Honda
234,Activa i [2016-2017],40000.0,2017,Individual,1st owner,11000,53436.0,6,3,1833.333,152.778,Honda
235,Karizma 2014,30000.0,2014,Individual,2nd owner,51000,86744.0,9,11,5666.667,472.222,Hero
236,Discover 100 T,18000.0,2013,Individual,1st owner,45000,47032.0,10,9,4500.0,375.0,Bajaj
237,Aviator,14000.0,2008,Individual,1st owner,66000,59183.0,15,14,4400.0,366.667,Honda
238,Splendor Plus,17000.0,2010,Individual,2nd owner,50000,,13,10,3846.154,320.513,Hero
239,Thunderbird 350,125000.0,2017,Individual,1st owner,23500,,6,5,3916.667,326.389,Royal Enfield
240,CT 110,20000.0,2015,Individual,1st owner,25000,,8,5,3125.0,260.417,Bajaj
241,Passion PRO i3s,50000.0,2017,Individual,1st owner,41000,56925.0,6,9,6833.333,569.444,Hero
242,RC 390,210000.0,2017,Individual,1st owner,12000,,6,3,2000.0,166.667,KTM
243,Pulsar 220F,70000.0,2018,Individual,1st owner,33000,,5,7,6600.0,550.0,Bajaj
244,Maestro Edge,40000.0,2017,Individual,1st owner,15000,55980.0,6,3,2500.0,208.333,Hero
245,Xcd,10000.0,2008,Individual,1st owner,50000,,15,10,3333.333,277.778,Bajaj
246,Pulsar 150,35000.0,2010,Individual,1st owner,40000,,13,8,3076.923,256.41,Bajaj
247,Centra,10000.0,2005,Individual,1st owner,50000,,18,10,2777.778,231.481,TVS
248,Activa 3G,42000.0,2015,Individual,1st owner,20000,54605.0,8,4,2500.0,208.333,Honda
249,FZ16,20000.0,2009,Individual,1st owner,50000,78712.0,14,10,3571.429,297.619,Yamaha
250,Maestro Edge,25000.0,2017,Individual,1st owner,55000,52790.0,6,11,9166.667,763.889,Hero
251,Discover 125,25000.0,2016,Individual,1st owner,70350,60122.0,7,15,10050.0,837.5,Bajaj
252,Thunderbird 350X,145000.0,2019,Individual,1st owner,2700,164004.0,4,1,675.0,56.25,Royal Enfield
253,Super Splendor,50000.0,2016,Individual,1st owner,20000,,7,4,2857.143,238.095,Hero
254,Scooty Pep Plus,30000.0,2011,Individual,1st owner,20000,,12,4,1666.667,138.889,TVS
255,FZ V 2.0,60000.0,2014,Individual,1st owner,41311,81508.0,9,9,4590.111,382.509,Yamaha
256,Splendor Plus,15000.0,2005,Individual,1st owner,65000,,18,13,3611.111,300.926,Hero Honda
257,CD Deluxe,15000.0,2014,Individual,2nd owner,34000,,9,7,3777.778,314.815,Hero
258,Passion PRO [2012],25000.0,2011,Individual,1st owner,20000,,12,4,1666.667,138.889,Hero Honda
259,HF Deluxe i3s,54000.0,2019,Individual,1st owner,11000,,4,3,2750.0,229.167,Hero
260,Xcd,25000.0,2007,Individual,1st owner,75000,,16,15,4687.5,390.625,Bajaj
261,Interceptor 650,260000.0,2019,Individual,1st owner,1200,,4,1,300.0,25.0,Royal Enfield
262,CBR-250R,100000.0,2014,Individual,1st owner,19000,199275.0,9,4,2111.111,175.926,Honda
263,Kristal,15000.0,2007,Individual,1st owner,30000,,16,6,1875.0,156.25,Bajaj
264,Splendor Plus,20000.0,2006,Individual,1st owner,23000,,17,5,1352.941,112.745,Hero Honda
265,Dream Yuga,35000.0,2014,Individual,1st owner,10000,56147.0,9,2,1111.111,92.593,Honda
266,FZ S V 2.0,50000.0,2016,Individual,1st owner,40000,87042.0,7,8,5714.286,476.19,Yamaha
267,Xpulse 200,90000.0,2019,Individual,1st owner,8600,107500.0,4,2,2150.0,179.167,Hero
268,V15,40000.0,2016,Individual,1st owner,45000,67187.0,7,9,6428.571,535.714,Bajaj
269,Avenger Street 220,80000.0,2016,Individual,1st owner,7200,95955.0,7,2,1028.571,85.714,Bajaj
270,Discover 135,20000.0,2010,Individual,1st owner,31195,,13,7,2399.615,199.968,Bajaj
271,CB Unicorn 150,70000.0,2017,Individual,1st owner,18000,74295.0,6,4,3000.0,250.0,Honda
272,SXL 149,98000.0,2019,Individual,1st owner,1000,,4,1,250.0,20.833,Vespa
273,Machismo,75000.0,2008,Individual,2nd owner,17000,,15,4,1133.333,94.444,Royal Enfield
274,CB Shine SP,50000.0,2016,Individual,1st owner,46000,67214.0,7,10,6571.429,547.619,Honda
275,CB Unicorn 150,40000.0,2014,Individual,1st owner,77592,74295.0,9,16,8621.333,718.444,Honda
276,CB Unicorn 150,75000.0,2013,Individual,1st owner,54000,74295.0,10,11,5400.0,450.0,Honda
277,CB Unicorn 150,50000.0,2013,Individual,1st owner,17000,74295.0,10,4,1700.0,141.667,Honda
278,Pulsar 150,60000.0,2014,Individual,1st owner,60000,,9,12,6666.667,555.556,Bajaj
279,Apache RTR 160,50000.0,2016,Individual,1st owner,40000,,7,8,5714.286,476.19,TVS
280,Dio,35000.0,2014,Individual,1st owner,25000,,9,5,2777.778,231.481,Honda
281,Thunderbird 350,160000.0,2018,Individual,1st owner,19000,,5,4,3800.0,316.667,Royal Enfield
282,Maestro,25000.0,2015,Individual,2nd owner,40000,49412.0,8,8,5000.0,416.667,Hero
283,CBZ extreme,42000.0,2010,Individual,1st owner,51000,,13,11,3923.077,326.923,Hero Honda
284,Dominar 400,200000.0,2019,Individual,1st owner,7600,,4,2,1900.0,158.333,Bajaj
285,Activa 125,40000.0,2014,Individual,1st owner,14965,,9,3,1662.778,138.565,Honda
286,Classic Desert Storm,130000.0,2015,Individual,2nd owner,25000,181445.0,8,5,3125.0,260.417,Royal Enfield
287,250 Duke,195000.0,2019,Individual,1st owner,6000,,4,2,1500.0,125.0,KTM
288,RC 390,270000.0,2019,Individual,1st owner,2380,,4,1,595.0,49.583,KTM
289,Ninja 650 [2018-2019],425000.0,2017,Individual,2nd owner,13600,599000.0,6,3,2266.667,188.889,Kawasaki
290,Apache RTR 200 4V,85000.0,2018,Individual,1st owner,10000,,5,2,2000.0,166.667,TVS
291,Ninja 250R,125000.0,2010,Individual,2nd owner,21000,317934.0,13,5,1615.385,134.615,Kawasaki
292,Wego,45000.0,2018,Individual,1st owner,10000,54760.0,5,2,2000.0,166.667,TVS
293,CBR-250R,85000.0,2014,Individual,2nd owner,18600,171646.0,9,4,2066.667,172.222,Honda
294,Pulsar NS200,85000.0,2018,Individual,1st owner,7750,,5,2,1550.0,129.167,Bajaj
295,GSX S750,760000.0,2019,Individual,1st owner,2800,752020.0,4,1,700.0,58.333,Suzuki
296,Thunderbird 350,100000.0,2015,Individual,1st owner,30000,,8,6,3750.0,312.5,Royal Enfield
297,Classic 350,95000.0,2015,Individual,1st owner,9800,,8,2,1225.0,102.083,Royal Enfield
298,CB Shine SP,48000.0,2015,Individual,1st owner,25000,67469.0,8,5,3125.0,260.417,Honda
299,Avenger Street 150 [2018],40000.0,2016,Individual,1st owner,29689,80435.0,7,6,4241.286,353.44,Bajaj
300,CBF Stunner,37000.0,2014,Individual,1st owner,43000,58757.0,9,9,4777.778,398.148,Honda
301,Avenger [2015],38000.0,2014,Individual,2nd owner,28243,75502.0,9,6,3138.111,261.509,Bajaj
302,Gixxer [2014-2018],55000.0,2015,Individual,1st owner,25000,78316.0,8,5,3125.0,260.417,Suzuki
303,Access 125,45000.0,2017,Individual,1st owner,22300,,6,5,3716.667,309.722,Suzuki
304,Scooty Streak,18000.0,2009,Individual,2nd owner,33595,44140.0,14,7,2399.643,199.97,TVS
305,Thunderbird 350X,140000.0,2018,Individual,1st owner,5505,,5,2,1101.0,91.75,Royal Enfield
306,Rx,70000.0,2000,Individual,3rd owner,5000,,23,1,217.391,18.116,Yamaha
307,Splendor Plus,15000.0,2007,Individual,1st owner,30000,,16,6,1875.0,156.25,Hero Honda
308,Pulsar 125,65000.0,2019,Individual,1st owner,16000,,4,4,4000.0,333.333,Bajaj
309,Activa 5G,42000.0,2018,Individual,1st owner,22000,57557.0,5,5,4400.0,366.667,Honda
310,Fazer Dlx,58000.0,2012,Individual,1st owner,40000,,11,8,3636.364,303.03,Yamaha
311,Street 750,330000.0,2014,Individual,4th owner,6500,534000.0,9,2,722.222,60.185,Harley-Davidson
312,Xtreme 2014,35000.0,2013,Individual,1st owner,15000,72973.0,10,3,1500.0,125.0,Hero
313,Classic 350,162000.0,2018,Individual,1st owner,17365,,5,4,3473.0,289.417,Royal Enfield
314,Hunk,28000.0,2009,Individual,1st owner,40000,,14,8,2857.143,238.095,Hero Honda
315,Interceptor 650,285000.0,2019,Individual,1st owner,5500,,4,2,1375.0,114.583,Royal Enfield
316,Classic 350,125000.0,2017,Individual,1st owner,33900,,6,7,5650.0,470.833,Royal Enfield
317,Pulsar 150 [2001-2011],15000.0,2005,Individual,1st owner,47670,,18,10,2648.333,220.694,Bajaj
318,Activa [2000-2015],29500.0,2013,Individual,1st owner,45000,50267.0,10,9,4500.0,375.0,Honda
319,Apache RR310,200000.0,2019,Individual,1st owner,5000,,4,1,1250.0,104.167,TVS
320,Standard,160000.0,2019,Individual,1st owner,5700,,4,2,1425.0,118.75,Jawa
321,Splendor PRO,30000.0,2012,Individual,1st owner,22866,,11,5,2078.727,173.227,Hero Honda
322,FZ25,110000.0,2019,Individual,1st owner,10000,133680.0,4,2,2500.0,208.333,Yamaha
323,Pulsar 220F,70000.0,2016,Individual,1st owner,31000,,7,7,4428.571,369.048,Bajaj
324,Fascino 110,69000.0,2019,Individual,1st owner,1600,57112.0,4,1,400.0,33.333,Yamaha
325,FZ16,30000.0,2011,Individual,1st owner,44000,78712.0,12,9,3666.667,305.556,Yamaha
326,FZ16,30000.0,2010,Individual,1st owner,70000,78712.0,13,14,5384.615,448.718,Yamaha
327,Star City Plus,42000.0,2017,Individual,1st owner,21000,,6,5,3500.0,291.667,TVS
328,Classic 350,160000.0,2018,Individual,1st owner,17365,,5,4,3473.0,289.417,Royal Enfield
329,Pulsar 135 LS,20000.0,2010,Individual,1st owner,80000,64589.0,13,16,6153.846,512.82,Bajaj
330,Access 125,45000.0,2017,Individual,1st owner,15000,,6,3,2500.0,208.333,Suzuki
331,Pulsar 135 LS,23000.0,2010,Individual,1st owner,77000,64589.0,13,16,5923.077,493.59,Bajaj
332,Renegade Commando,140000.0,2017,Individual,2nd owner,40000,180525.0,6,8,6666.667,555.556,UM
333,Splendor Plus,12000.0,2005,Individual,1st owner,48000,,18,10,2666.667,222.222,Hero Honda
334,Passion PRO i3s,50000.0,2017,Individual,1st owner,18000,56925.0,6,4,3000.0,250.0,Hero
335,Classic 350,140000.0,2018,Individual,1st owner,20000,,5,4,4000.0,333.333,Royal Enfield
336,Activa 5G,55000.0,2019,Individual,1st owner,9000,59422.0,4,2,2250.0,187.5,Honda
337,Fascino 110,45000.0,2016,Individual,1st owner,56000,54500.0,7,12,8000.0,666.667,Yamaha
338,Splendor Plus,25000.0,2012,Individual,1st owner,50000,,11,10,4545.455,378.788,Hero
339,Thunderbird 350,90000.0,2014,Individual,1st owner,12000,,9,3,1333.333,111.111,Royal Enfield
340,YZF R15 V3,120000.0,2018,Individual,1st owner,11500,,5,3,2300.0,191.667,Yamaha
341,RC 200,120000.0,2015,Individual,1st owner,20000,,8,4,2500.0,208.333,KTM
342,Radeon,35000.0,2017,Individual,1st owner,20000,66492.0,6,4,3333.333,277.778,TVS
343,HF Deluxe,35000.0,2017,Individual,1st owner,27000,,6,6,4500.0,375.0,Hero
344,G310GS,300000.0,2018,Individual,1st owner,2500,349000.0,5,1,500.0,41.667,BMW
345,Thunderbird 350,87000.0,2012,Individual,1st owner,20477,,11,5,1861.545,155.129,Royal Enfield
346,Splendor Plus,18000.0,2010,Individual,1st owner,35700,,13,8,2746.154,228.846,Hero Honda
347,FZ S V 2.0,50000.0,2014,Individual,1st owner,70000,84042.0,9,14,7777.778,648.148,Yamaha
348,Avenger Street 220,60000.0,2016,Individual,1st owner,29000,95955.0,7,6,4142.857,345.238,Bajaj
349,Splendor Plus,15000.0,2004,Individual,1st owner,14500,,19,3,763.158,63.596,Hero Honda
350,Platina 100,30000.0,2018,Individual,1st owner,37000,,5,8,7400.0,616.667,Bajaj
351,Thunderbird 350X,160000.0,2018,Individual,1st owner,3246,,5,1,649.2,54.1,Royal Enfield
352,CB Unicorn 150,50000.0,2016,Individual,1st owner,27000,74295.0,7,6,3857.143,321.429,Honda
353,Gixxer [2014-2018],62000.0,2017,Individual,1st owner,15000,78316.0,6,3,2500.0,208.333,Suzuki
354,Platina 100,45000.0,2019,Individual,1st owner,15000,,4,3,3750.0,312.5,Bajaj
355,Thunderbird 350,120000.0,2017,Individual,1st owner,4050,,6,1,675.0,56.25,Royal Enfield
356,Thunderbird 500,125000.0,2014,Individual,1st owner,25000,190874.0,9,5,2777.778,231.481,Royal Enfield
357,Pulsar AS150,50000.0,2015,Individual,1st owner,5000,80821.0,8,1,625.0,52.083,Bajaj
358,Pulsar 150,30000.0,2012,Individual,2nd owner,5000,,11,1,454.545,37.879,Bajaj
359,Pleasure,40000.0,2014,Individual,1st owner,14000,51600.0,9,3,1555.556,129.63,Hero
360,Aviator,41000.0,2013,Individual,1st owner,36500,63537.0,10,8,3650.0,304.167,Honda
361,Thunderbird 350,120000.0,2017,Individual,2nd owner,9000,,6,2,1500.0,125.0,Royal Enfield
362,Ignitor,35000.0,2014,Individual,1st owner,33200,67722.0,9,7,3688.889,307.407,Hero
363,CD100SS,10000.0,1997,Individual,1st owner,646000,,26,130,24846.154,2070.513,Hero Honda
364,Apache RTR 160,35000.0,2011,Individual,1st owner,25000,,12,5,2083.333,173.611,TVS
365,Achiever 150,38000.0,2017,Individual,1st owner,26000,69750.0,6,6,4333.333,361.111,Hero
366,LX 125,50000.0,2015,Individual,1st owner,3909,77900.0,8,1,488.625,40.719,Vespa
367,Activa 3G,40000.0,2015,Individual,1st owner,7672,54605.0,8,2,959.0,79.917,Honda
368,Splendor Plus i3s,70000.0,2019,Individual,1st owner,3000,55600.0,4,1,750.0,62.5,Hero
369,Classic 350,140000.0,2016,Individual,1st owner,3654,,7,1,522.0,43.5,Royal Enfield
370,Maestro,26500.0,2016,Individual,2nd owner,40000,53830.0,7,8,5714.286,476.19,Hero
371,Glamour 125,38000.0,2016,Dealer,1st owner,5500,61600.0,7,2,785.714,65.476,Hero
372,FZ16,60000.0,2016,Individual,1st owner,29950,78712.0,7,6,4278.571,356.548,Yamaha
373,Himalayan,145000.0,2017,Individual,1st owner,14000,,6,3,2333.333,194.444,Royal Enfield
374,FZ S V 2.0,78000.0,2017,Individual,1st owner,26100,84480.0,6,6,4350.0,362.5,Yamaha
375,Maestro Edge,58000.0,2018,Individual,1st owner,6000,54580.0,5,2,1200.0,100.0,Hero
376,FZ25,130000.0,2017,Individual,1st owner,4000,132680.0,6,1,666.667,55.556,Yamaha
377,Victor,20000.0,2001,Individual,1st owner,50000,54852.0,22,10,2272.727,189.394,TVS
378,Dominar 400 [2018],150000.0,2018,Individual,1st owner,5475,163331.0,5,2,1095.0,91.25,Bajaj
379,Pulsar 180,32000.0,2012,Individual,1st owner,40000,85011.0,11,8,3636.364,303.03,Bajaj
380,Pulsar 180,50000.0,2017,Individual,1st owner,20500,85011.0,6,5,3416.667,284.722,Bajaj
381,200 Duke,120000.0,2017,Individual,1st owner,4100,,6,1,683.333,56.944,KTM
382,Avenger Street 150 [2018],60000.0,2016,Individual,2nd owner,23097,80435.0,7,5,3299.571,274.964,Bajaj
383,Discover 100 M,20000.0,2011,Individual,1st owner,37734,44756.0,12,8,3144.5,262.042,Bajaj
384,Bullet 350 [2007-2011],65000.0,2011,Individual,2nd owner,65000,,12,13,5416.667,451.389,Royal Enfield
385,YZF R15 S,70000.0,2016,Individual,1st owner,8000,117926.0,7,2,1142.857,95.238,Yamaha
386,FZ V 2.0,35000.0,2014,Individual,1st owner,13500,81508.0,9,3,1500.0,125.0,Yamaha
387,Avenger Street 220,95000.0,2018,Individual,1st owner,23000,95955.0,5,5,4600.0,383.333,Bajaj
388,Pulsar 150,8000.0,2005,Individual,1st owner,58000,,18,12,3222.222,268.519,Bajaj
389,Thunderbird 350,85000.0,2010,Individual,1st owner,15000,,13,3,1153.846,96.154,Royal Enfield
390,Achiever 150,65000.0,2016,Individual,1st owner,29000,69750.0,7,6,4142.857,345.238,Hero
391,Passion Pro 110,39000.0,2013,Individual,1st owner,20000,,10,4,2000.0,166.667,Hero
392,Duet,45000.0,2017,Individual,1st owner,35000,50280.0,6,7,5833.333,486.111,Hero
393,Avenger Street 150 [2018],60000.0,2016,Individual,1st owner,45137,80435.0,7,10,6448.143,537.345,Bajaj
394,Classic Stealth Black,160000.0,2018,Individual,1st owner,7500,204977.0,5,2,1500.0,125.0,Royal Enfield
395,Pulsar 150,35000.0,2011,Individual,1st owner,35600,,12,8,2966.667,247.222,Bajaj
396,Pulsar 135 LS,40000.0,2018,Individual,1st owner,15000,64589.0,5,3,3000.0,250.0,Bajaj
397,Fazer [2009-2016],40000.0,2012,Individual,1st owner,7353,84751.0,11,2,668.455,55.705,Yamaha
398,CB Hornet 160R,56000.0,2017,Individual,2nd owner,13200,87543.0,6,3,2200.0,183.333,Honda
399,CB Unicorn Dazzler,22000.0,2011,Individual,1st owner,38350,71757.0,12,8,3195.833,266.319,Honda
400,YBR 125,36000.0,2014,Individual,1st owner,20400,54593.0,9,5,2266.667,188.889,Yamaha
401,Intruder 150 Fi,100000.0,2018,Individual,1st owner,14500,110240.0,5,3,2900.0,241.667,Suzuki
402,V15,42000.0,2016,Individual,1st owner,19500,67187.0,7,4,2785.714,232.143,Bajaj
403,Electra 5 S,85000.0,2008,Individual,1st owner,20000,,15,4,1333.333,111.111,Royal Enfield
404,Passion PRO TR,45000.0,2014,Individual,1st owner,36000,54586.0,9,8,4000.0,333.333,Hero
405,FZ25,145000.0,2019,Individual,1st owner,4500,133680.0,4,1,1125.0,93.75,Yamaha
406,Karizma [2003-2014],50000.0,2013,Individual,1st owner,38000,85766.0,10,8,3800.0,316.667,Hero
407,Interceptor 650,270000.0,2019,Individual,1st owner,9000,,4,2,2250.0,187.5,Royal Enfield
408,Thunderbird 350,60000.0,2006,Individual,1st owner,40000,,17,8,2352.941,196.078,Royal Enfield
409,Classic Squadron Blue,140000.0,2017,Individual,1st owner,25000,181445.0,6,5,4166.667,347.222,Royal Enfield
410,Splendor Plus,28000.0,2008,Individual,1st owner,70889,,15,15,4725.933,393.828,Hero Honda
411,390 Duke ABS [2013-2016],180000.0,2015,Individual,2nd owner,13125,202127.0,8,3,1640.625,136.719,KTM
412,Pulsar 180,42000.0,2014,Individual,2nd owner,19600,85011.0,9,4,2177.778,181.481,Bajaj
413,Access 125 [2007-2016],16000.0,2011,Individual,1st owner,40000,58314.0,12,8,3333.333,277.778,Suzuki
414,Splendor iSmart,40000.0,2015,Individual,1st owner,19055,52271.0,8,4,2381.875,198.49,Hero
415,Pulsar 180,38000.0,2012,Individual,2nd owner,57000,85011.0,11,12,5181.818,431.818,Bajaj
416,YZF R15 S,85000.0,2017,Individual,1st owner,13000,117926.0,6,3,2166.667,180.556,Yamaha
417,Aviator,28000.0,2013,Individual,1st owner,28087,63537.0,10,6,2808.7,234.058,Honda
418,200 Duke,135000.0,2018,Individual,1st owner,24000,,5,5,4800.0,400.0,KTM
419,Thunderbird 350,120000.0,2016,Individual,1st owner,24600,,7,5,3514.286,292.857,Royal Enfield
420,Karizma ZMR,37000.0,2010,Individual,1st owner,27500,108000.0,13,6,2115.385,176.282,Hero
421,Classic Chrome,135000.0,2015,Individual,1st owner,45000,189313.0,8,9,5625.0,468.75,Royal Enfield
